Country,City,Date,Year,Month,Day,Temp,DayOfYear
South Africa,Capetown,1997-01-21,1997,1,21,19.944444444444446,21
South Africa,Capetown,1997-01-22,1997,1,22,19.27777777777778,22
South Africa,Capetown,1997-01-23,1997,1,23,20.38888888888889,23
South Africa,Capetown,1997-01-24,1997,1,24,20.666666666666668,24
South Africa,Capetown,1997-01-25,1997,1,25,21.38888888888889,25
South Africa,Capetown,1997-01-26,1997,1,26,19.33333333333333,26
South Africa,Capetown,1997-01-27,1997,1,27,21.444444444444443,27
South Africa,Capetown,1997-01-28,1997,1,28,21.5,28
South Africa,Capetown,1997-01-29,1997,1,29,21.83333333333333,29
South Africa,Capetown,1997-01-30,1997,1,30,21.11111111111111,30
South Africa,Capetown,1997-01-31,1997,1,31,17.0,31
South Africa,Capetown,1998-01-01,1998,1,1,22.722222222222225,1
South Africa,Capetown,1998-01-02,1998,1,2,24.55555555555556,2
South Africa,Capetown,1998-01-03,1998,1,3,25.166666666666668,3
South Africa,Capetown,1998-01-04,1998,1,4,26.888888888888893,4
South Africa,Capetown,1998-01-05,1998,1,5,22.22222222222222,5
South Africa,Capetown,1998-01-06,1998,1,6,22.11111111111111,6
South Africa,Capetown,1998-01-07,1998,1,7,20.944444444444443,7
South Africa,Capetown,1998-01-08,1998,1,8,17.5,8
South Africa,Capetown,1998-01-09,1998,1,9,14.666666666666666,9
South Africa,Capetown,1998-01-10,1998,1,10,16.11111111111111,10
South Africa,Capetown,1998-01-11,1998,1,11,17.555555555555557,11
South Africa,Capetown,1998-01-12,1998,1,12,19.166666666666668,12
South Africa,Capetown,1998-01-13,1998,1,13,17.11111111111111,13
South Africa,Capetown,1998-01-14,1998,1,14,18.61111111111111,14
South Africa,Capetown,1998-01-15,1998,1,15,18.77777777777778,15
South Africa,Capetown,1998-01-16,1998,1,16,20.27777777777778,16
South Africa,Capetown,1998-01-17,1998,1,17,20.0,17
South Africa,Capetown,1998-01-18,1998,1,18,20.11111111111111,18
South Africa,Capetown,1998-01-19,1998,1,19,18.61111111111111,19
South Africa,Capetown,1998-01-20,1998,1,20,20.055555555555557,20
South Africa,Capetown,1998-01-21,1998,1,21,20.83333333333333,21
South Africa,Capetown,1998-01-22,1998,1,22,21.27777777777778,22
South Africa,Capetown,1998-01-23,1998,1,23,19.83333333333333,23
South Africa,Capetown,1998-01-24,1998,1,24,20.500000000000004,24
South Africa,Capetown,1998-01-25,1998,1,25,21.444444444444443,25
South Africa,Capetown,1998-01-26,1998,1,26,21.61111111111111,26
South Africa,Capetown,1998-01-27,1998,1,27,22.38888888888889,27
South Africa,Capetown,1998-01-28,1998,1,28,21.0,28
South Africa,Capetown,1998-01-29,1998,1,29,20.55555555555556,29
South Africa,Capetown,1998-01-30,1998,1,30,19.66666666666667,30
South Africa,Capetown,1998-01-31,1998,1,31,19.77777777777777,31
South Africa,Capetown,1999-01-01,1999,1,1,18.111111111111107,1
South Africa,Capetown,1999-01-02,1999,1,2,19.11111111111111,2
South Africa,Capetown,1999-01-03,1999,1,3,20.444444444444443,3
South Africa,Capetown,1999-01-04,1999,1,4,21.11111111111111,4
South Africa,Capetown,1999-01-05,1999,1,5,20.83333333333333,5
South Africa,Capetown,1999-01-06,1999,1,6,20.611111111111107,6
South Africa,Capetown,1999-01-07,1999,1,7,22.722222222222225,7
South Africa,Capetown,1999-01-08,1999,1,8,21.166666666666664,8
South Africa,Capetown,1999-01-09,1999,1,9,20.944444444444443,9
South Africa,Capetown,1999-01-10,1999,1,10,-72.77777777777777,10
South Africa,Capetown,1999-01-11,1999,1,11,16.61111111111111,11
South Africa,Capetown,1999-01-12,1999,1,12,18.77777777777778,12
South Africa,Capetown,1999-01-13,1999,1,13,20.611111111111107,13
South Africa,Capetown,1999-01-14,1999,1,14,18.72222222222222,14
South Africa,Capetown,1999-01-15,1999,1,15,20.611111111111107,15
South Africa,Capetown,1999-01-16,1999,1,16,20.72222222222222,16
South Africa,Capetown,1999-01-17,1999,1,17,20.72222222222222,17
South Africa,Capetown,1999-01-18,1999,1,18,21.333333333333336,18
South Africa,Capetown,1999-01-19,1999,1,19,22.33333333333333,19
South Africa,Capetown,1999-01-20,1999,1,20,22.11111111111111,20
South Africa,Capetown,1999-01-21,1999,1,21,24.166666666666668,21
South Africa,Capetown,1999-01-22,1999,1,22,24.55555555555556,22
South Africa,Capetown,1999-01-23,1999,1,23,21.5,23
South Africa,Capetown,1999-01-24,1999,1,24,21.83333333333333,24
South Africa,Capetown,1999-01-25,1999,1,25,22.666666666666668,25
South Africa,Capetown,1999-01-26,1999,1,26,23.55555555555556,26
South Africa,Capetown,1999-01-27,1999,1,27,23.944444444444443,27
South Africa,Capetown,1999-01-28,1999,1,28,20.11111111111111,28
South Africa,Capetown,1999-01-29,1999,1,29,22.555555555555557,29
South Africa,Capetown,1999-01-30,1999,1,30,22.555555555555557,30
South Africa,Capetown,1999-01-31,1999,1,31,22.33333333333333,31
South Africa,Capetown,2000-01-01,2000,1,1,17.0,1
South Africa,Capetown,2000-01-02,2000,1,2,20.055555555555557,2
South Africa,Capetown,2000-01-03,2000,1,3,22.61111111111111,3
South Africa,Capetown,2000-01-04,2000,1,4,24.66666666666667,4
South Africa,Capetown,2000-01-05,2000,1,5,22.61111111111111,5
South Africa,Capetown,2000-01-06,2000,1,6,21.444444444444443,6
South Africa,Capetown,2000-01-07,2000,1,7,18.88888888888889,7
South Africa,Capetown,2000-01-08,2000,1,8,20.72222222222222,8
South Africa,Capetown,2000-01-09,2000,1,9,20.055555555555557,9
South Africa,Capetown,2000-01-10,2000,1,10,19.944444444444446,10
South Africa,Capetown,2000-01-11,2000,1,11,18.22222222222222,11
South Africa,Capetown,2000-01-12,2000,1,12,19.0,12
South Africa,Capetown,2000-01-13,2000,1,13,20.777777777777786,13
South Africa,Capetown,2000-01-14,2000,1,14,21.61111111111111,14
South Africa,Capetown,2000-01-15,2000,1,15,23.22222222222222,15
South Africa,Capetown,2000-01-16,2000,1,16,24.66666666666667,16
South Africa,Capetown,2000-01-17,2000,1,17,24.33333333333333,17
South Africa,Capetown,2000-01-18,2000,1,18,24.5,18
South Africa,Capetown,2000-01-19,2000,1,19,25.944444444444443,19
South Africa,Capetown,2000-01-20,2000,1,20,23.277777777777786,20
South Africa,Capetown,2000-01-21,2000,1,21,20.500000000000004,21
South Africa,Capetown,2000-01-22,2000,1,22,21.888888888888893,22
South Africa,Capetown,2000-01-23,2000,1,23,24.444444444444443,23
South Africa,Capetown,2000-01-24,2000,1,24,23.55555555555556,24
South Africa,Capetown,2000-01-25,2000,1,25,21.0,25
South Africa,Capetown,2000-01-26,2000,1,26,21.22222222222222,26
South Africa,Capetown,2000-01-27,2000,1,27,21.55555555555556,27
South Africa,Capetown,2000-01-28,2000,1,28,20.27777777777778,28
South Africa,Capetown,2000-01-29,2000,1,29,20.55555555555556,29
South Africa,Capetown,2000-01-30,2000,1,30,18.72222222222222,30
South Africa,Capetown,2000-01-31,2000,1,31,18.88888888888889,31
South Africa,Capetown,2001-01-01,2001,1,1,17.444444444444443,1
South Africa,Capetown,2001-01-02,2001,1,2,19.88888888888889,2
South Africa,Capetown,2001-01-03,2001,1,3,22.666666666666668,3
South Africa,Capetown,2001-01-04,2001,1,4,22.666666666666668,4
South Africa,Capetown,2001-01-05,2001,1,5,21.77777777777778,5
South Africa,Capetown,2001-01-06,2001,1,6,21.05555555555556,6
South Africa,Capetown,2001-01-07,2001,1,7,23.111111111111107,7
South Africa,Capetown,2001-01-08,2001,1,8,21.0,8
South Africa,Capetown,2001-01-09,2001,1,9,19.944444444444446,9
South Africa,Capetown,2001-01-10,2001,1,10,19.166666666666668,10
South Africa,Capetown,2001-01-11,2001,1,11,20.27777777777778,11
South Africa,Capetown,2001-01-12,2001,1,12,20.055555555555557,12
South Africa,Capetown,2001-01-13,2001,1,13,14.666666666666666,13
South Africa,Capetown,2001-01-14,2001,1,14,16.833333333333332,14
South Africa,Capetown,2001-01-15,2001,1,15,19.61111111111111,15
South Africa,Capetown,2001-01-16,2001,1,16,20.0,16
South Africa,Capetown,2001-01-17,2001,1,17,22.555555555555557,17
South Africa,Capetown,2001-01-18,2001,1,18,19.72222222222222,18
South Africa,Capetown,2001-01-19,2001,1,19,18.72222222222222,19
South Africa,Capetown,2001-01-20,2001,1,20,19.61111111111111,20
South Africa,Capetown,2001-01-21,2001,1,21,20.611111111111107,21
South Africa,Capetown,2001-01-22,2001,1,22,21.22222222222222,22
South Africa,Capetown,2001-01-23,2001,1,23,20.0,23
South Africa,Capetown,2001-01-24,2001,1,24,19.33333333333333,24
South Africa,Capetown,2001-01-25,2001,1,25,21.944444444444443,25
South Africa,Capetown,2001-01-26,2001,1,26,23.55555555555556,26
South Africa,Capetown,2001-01-27,2001,1,27,22.61111111111111,27
South Africa,Capetown,2001-01-28,2001,1,28,21.55555555555556,28
South Africa,Capetown,2001-01-29,2001,1,29,21.77777777777778,29
South Africa,Capetown,2001-01-30,2001,1,30,18.277777777777786,30
South Africa,Capetown,2001-01-31,2001,1,31,18.05555555555556,31
South Africa,Capetown,2002-01-01,2002,1,1,20.38888888888889,1
South Africa,Capetown,2002-01-02,2002,1,2,22.27777777777777,2
South Africa,Capetown,2002-01-03,2002,1,3,21.0,3
South Africa,Capetown,2002-01-04,2002,1,4,21.722222222222214,4
South Africa,Capetown,2002-01-05,2002,1,5,20.666666666666668,5
South Africa,Capetown,2002-01-06,2002,1,6,17.27777777777778,6
South Africa,Capetown,2002-01-07,2002,1,7,15.22222222222222,7
South Africa,Capetown,2002-01-08,2002,1,8,18.33333333333333,8
South Africa,Capetown,2002-01-09,2002,1,9,20.444444444444443,9
South Africa,Capetown,2002-01-10,2002,1,10,19.944444444444446,10
South Africa,Capetown,2002-01-11,2002,1,11,16.22222222222222,11
South Africa,Capetown,2002-01-12,2002,1,12,17.0,12
South Africa,Capetown,2002-01-13,2002,1,13,17.555555555555557,13
South Africa,Capetown,2002-01-14,2002,1,14,19.388888888888893,14
South Africa,Capetown,2002-01-15,2002,1,15,20.611111111111107,15
South Africa,Capetown,2002-01-16,2002,1,16,19.222222222222214,16
South Africa,Capetown,2002-01-17,2002,1,17,18.000000000000004,17
South Africa,Capetown,2002-01-18,2002,1,18,18.944444444444443,18
South Africa,Capetown,2002-01-19,2002,1,19,20.055555555555557,19
South Africa,Capetown,2002-01-20,2002,1,20,20.611111111111107,20
South Africa,Capetown,2002-01-21,2002,1,21,21.61111111111111,21
South Africa,Capetown,2002-01-22,2002,1,22,22.61111111111111,22
South Africa,Capetown,2002-01-23,2002,1,23,20.38888888888889,23
South Africa,Capetown,2002-01-24,2002,1,24,21.888888888888893,24
South Africa,Capetown,2002-01-25,2002,1,25,24.444444444444443,25
South Africa,Capetown,2002-01-26,2002,1,26,22.444444444444446,26
South Africa,Capetown,2002-01-27,2002,1,27,21.11111111111111,27
South Africa,Capetown,2002-01-28,2002,1,28,21.11111111111111,28
South Africa,Capetown,2002-01-29,2002,1,29,21.61111111111111,29
South Africa,Capetown,2002-01-30,2002,1,30,20.83333333333333,30
South Africa,Capetown,2002-01-31,2002,1,31,23.61111111111111,31
South Africa,Capetown,2003-01-01,2003,1,1,25.0,1
South Africa,Capetown,2003-01-02,2003,1,2,22.05555555555556,2
South Africa,Capetown,2003-01-03,2003,1,3,20.444444444444443,3
South Africa,Capetown,2003-01-04,2003,1,4,22.16666666666667,4
South Africa,Capetown,2003-01-05,2003,1,5,21.22222222222222,5
South Africa,Capetown,2003-01-06,2003,1,6,21.166666666666664,6
